"idRegion","region"
"1","Amazonas"
"2","Áncash"
"3","Apurímac"
"4","Arequipa"
"5","Ayacucho"
"6","Cajamarca"
"7","Callao"
"8","Cusco"
"9","Huancavelica"
"10","Huánuco"
"11","Ica"
"12","Junín
"
"13","La Libertad"
"14","Lambayeque"
"15","Lima Centro"
"16","Lima Este"
"17","Lima Noreste"
"18","Lima Norte"
"19","Lima Provincias"
"20","Lima Sur"
"21","Loreto"
"22","Madre de Dios"
"23","Moquegua"
"24","Pasco"
"25","Pataz"
"26","Piura"
"27","Puno"
"28","San Mart?n
"
"29","Tacna"
"30","Tumbes"
"31","Ucayali"
