"idSubRegion","nombreSub","idRegion"
"1","SUB REGION CALLEJON DE HUAYLAS","2"
"2","SUB REGION GRAN CHAVÍN","2"
"3","SUB REGION MARAÑON","2"
"4","SUB REGION EL PACIFICO","2"
"5","SIERRA NORTE","2"
"6","SUBREGION HUANTA","3"
"7","SUBREGI?N VRAEM","3"
"8","SUBREGI?N HUAMANGA","3"
"9","SUBREGION CANGALLO","3"
"10","SUBREGIÓN LUCANAS","3"
"11","SUB REGION CAJAMARCA -CELENDIN","6"
"12","SUB REGION CAJABAMBA- SAN MARCOS","6"
"13","SUB REGION BAMBAMARCA - CHOTA SAN MIGUEL","6"
"14","SUBREGION CUTERVO SANTA CRUZ","6"
"15","SUBREGION JAÉN - SAN IGNACIO","6"
"16","SUB REGION ACOBAMBA","9"
"17","SUBREGION ANGARAES  HUAYTARÁ","9"
"18","SUBREGION CHURCAMPA ","9"
"19","SUBREGION HUANVCA Y CASTROVIRREYNA","9"
"20","SUBREGION PAMPAS - TAYACAJA","9"
"21","HUANUCO","10"
"22","SUB REGION LEONCIO PRADO","10"
"23","SUBREGION TOCACHE","10"
"24","SUBREGION LLATA HUAMALIES","10"
"25","LAURICOCHA","10"
"26","DOS DE MAYO","10"
"27","YAROWILCA","10"
"28","AMBO","10"
"29","SUB REGION HUANCAYO","12"
"30","SUB REGION SELVA CENTRAL","12"
"31","SUB REGION JUNÍN","12"
"32","SUB REGION VALLE CHICAMA","13"
"33","SUB REGION TRUJILLO","13"
"34","SUB REGION SANCHEZ CARRION","13"
"35","SUB REGION HUARMACA","14"
"36","SUB REGION CHICLAYO","14"
"37","SUB REGION AYMARA FRONTERA SUR","27"
"38","SUB REGION ILAVE","27"
"39","JULIACA","27"
"40","LAGO AZUL","27"
"41","JOSE DOMINGO CHOQUEHUANCA","27"
"42","SAN ANTON CARABAYA","27"
"43","LACUSTRE PUNO","27"
"44","ALTO AMAZONAS
Y EL DATEM","21"
"45","HUAMCABAMBA","26"
"46","RIOJA NOR ESTE","28"
"47","MOYOBAMBA","28"
"48","LAS PALMERAS","28"
"49","HUALLAGA CENTRAL","28"
